view_id,from,vias,to,maneuver_type,maneuver_modifier,first_lane_from_right,lanes,entry,entry_out,all_number,lat,lon,cases,city_code
5235511208_12156855498_12156855499,5235511208,12156855498,12156855499,continue,uturn,0,0,3,2,454,1.371584,103.870446,"A-6VL864HGWHRG,A-6VMAOLJWWFF9,A-6VMKHPDGWG7G,A-6VOA9NJWWFFM,A-6VKFQ5FGWG5M",SIN
6094662964_4538885610_4538885611,6094662964,4538885610,4538885611,continue,uturn,0,1,3,2,448,1.291019,103.80753,"A-6VL6USQGWIQQ,A-6VMMUUMGWFRG,A-6VMCQ88GWEP2,A-6VMGV95WWFP5,A-6VKUEC9WWEN7",SIN
5952765991_9691329960_9691329962,5952765991,9691329960,9691329962,continue,uturn,0,3,3,2,445,1.310982,103.803778,"A-6VM5WSVWWJUF,A-6VLRHIGWWFQH,A-6VLPRN4GWE5M,A-6VM4X8NWWJGJ,A-6VKI3VLGWIJ3",SIN
2750380011_1816580034_1816580036,2750380011,1816580034,1816580036,continue,uturn,0,1,3,2,443,1.288557,103.846929,"A-6VM2BCJWWJNX,A-6VKKJOEWWIXJ,A-6VKOCWAWWJMM,A-6VML7L8GWJNX,A-6VL4IH3WWFL6",SIN
6819994600_1729345577_6369791255,6819994600,1729345577,6369791255,continue,uturn,0,1,3,2,442,1.305685,103.837378,"A-6VKVGNTGWFKA,A-6VKII3NWWEP2,A-6VKLMAUGWH6E,A-6VLBWQVGWHIG,A-6VLGUJ6GWJWN",SIN
1807297542_6774268610_11521566250,1807297542,6774268610,11521566250,continue,uturn,0,2,3,2,433,1.306657,103.818982,"A-6VKH6WWGWJUI,A-6VL6JO2WWIQQ,A-6VKSX4GGWF44,A-6VLIVGAW2H6W,A-6VKPQ69WWFGS",SIN
4738738795_4738738797_4738738796,4738738795,4738738797,4738738796,continue,uturn,0,1,3,2,431,1.311266,103.836591,"A-6VKD77VGWFF9,A-6VMHIQ5GWFP5,A-6VNTHNFGWHKL,A-6VMEPDWWWEHW,A-6VLROMDWWFN5",SIN
8268945201_1819977022_1819975440_960396617_960396614_8268945200,8268945201,"1819977022,1819975440,960396617,960396614",8268945200,continue,uturn,0,2,4,1,408,1.346224,103.942931,"A-6VLR4B4GWJFG,A-6VLSMRIGWJNX,A-6VM372WGWIPC,A-6VKSJW5GWFN5,A-6VM7MA8WWJA2",SIN
7919021687_2516876533_2507343630_246612242_2507343631_7919021688,7919021687,"2516876533,2507343630,246612242,2507343631",7919021688,continue,uturn,0,2,3,1,404,1.300073,103.766565,"A-6VO7P8MWWHS5,A-6VKEHMJWWG5M,A-6VM4DORGWETN,A-6VNTORNGWHKL,A-6VMWVR7WWH2A",SIN
6059264341_4738838451_6817940433,6059264341,4738838451,6817940433,continue,uturn,0,1,3,2,403,1.317319,103.825813,"A-6VO92CVGWG8J,A-6VLRL9CWWJGJ,A-6VMVELHWWH6W,A-6VO87GPWWGVH,A-6VMX634W2FF9",SIN
5189261856_243210074_243210064_243213938_243210059_5189261857,5189261856,"243210074,243210064,243213938,243210059",5189261857,continue,uturn,0,2,4,1,399,1.281769,103.823905,"A-6VMQX6LGWH2A,A-6VMMOOXGWIXJ,A-6VO86UOGWJEG,A-6VKLIN3GWIXJ,A-6VKAQRQGWHIG",SIN
5842510515_878204957_4670075218_960396163_243678833_5842510514,5842510515,"878204957,4670075218,960396163,243678833",5842510514,continue,uturn,0,2,4,1,394,1.352276,103.954607,"A-6VL27FEGWG5C,A-6VLRF4EWWJUF,A-6VLIILUWWEXC,A-6VO34EXGWFWI,A-6VMMFR8GWHIG",SIN
5218666537_1790572933_571917273_4602700743,5218666537,"1790572933,571917273",4602700743,continue,uturn,0,2,4,1,394,1.310595,103.844517,"A-6VKU6LTGWIXJ,LatLngNav-1727921226,A-6VMXNG7WWJMM,LatLngNav-1727998946464,A-6VM8VQPGWE28",SIN
2642043046_2642043056_6887359358,2642043046,2642043056,6887359358,continue,uturn,0,0,3,2,387,1.335089,103.843138,"A-6VLMXXDGWFKA,A-6VKDODKGWFGS,A-6VKH7P6GWIME,A-6VLOTSDWWEXC,A-6VKA6XAGWFN5",SIN
5145848434_2558083058_10951304711,5145848434,2558083058,10951304711,exit roundabout,uturn,0,0,3,2,386,1.256719,103.818438,"A-6VLVPV2GWJGJ,A-6VKMOUNWWIAI,A-6VMP5GPGWIUJ,A-6VLMQCEGWIAI,A-6VL9IVOGWIQQ",SIN
6728983057_2558083054_5145848437,6728983057,2558083054,5145848437,roundabout,uturn,0,0,3,1,384,1.256695,103.818325,"A-6VM67SSWWJMM,A-6VMSE2PGWIWG,A-6VKU853GWHRG,A-6VLFQB6WWGIN,A-6VN46TJWWJ2I",SIN
367333075_367333076_367333077,367333075,367333076,367333077,roundabout,uturn,0,0,3,1,380,1.251623,103.824851,"A-6VLBFECG2IUJ,A-6VLH4RBGWFKA,A-6VL7JEQGWI2G,A-6VL3QVVGWGBX,A-6VLLBF5WWEP2",SIN
5138662738_6225565447_5302003034,5138662738,6225565447,5302003034,exit roundabout,uturn,0,0,3,2,380,1.251701,103.824718,"A-6VLUV47GWH6W,A-6VMT42DGWIAI,A-6VM9CT4WWHRO,A-6VM46XXWWH2A,A-6VL4GT4GWGW5",SIN
11992269536_9679348775_9679348776,11992269536,9679348775,9679348776,roundabout,uturn,0,0,3,1,377,1.322724,103.854747,"A-6VKI6QVWWFKA,A-6VMFICTWWJMM,A-6VK7N4FGWI2G,A-6VKKPPMWWEJU,A-6VLGAO7WWE69",SIN
