fid,TYP_CD,BEARG_NUM,TYP_CD_DES,BEARG_NUM_,Longitude,Latitude
55,,65.86787888,U-Turn [3008],,103.95001467533,1.3340154079183
56,,303.89616656,U-Turn [3008],,103.845894096689,1.29142922072457
57,,107.70356887,U-Turn [3008],,103.899039038373,1.38717483942926
58,,204.77514057,U-Turn [3008],,103.986732202345,1.35184155592608
59,,306,U-Turn [3008],,103.856333578979,1.30564364744834
60,,334.44650695,U-Turn [3008],,103.797223078241,1.44693987415727
61,,29,U-Turn [3008],,103.794549133697,1.43318749183189
62,,132,U-Turn [3008],,103.856776969569,1.30524558178373
63,,177,U-Turn [3008],,103.882077391671,1.31329224001865
64,,53.13010235,U-Turn [3008],,103.905792015123,1.30308082735038
65,,76.60750225,U-Turn [3008],,103.878083537999,1.3955410172848
66,,113.80709666,U-Turn [3008],,103.798269293347,1.44631475210189
67,,40,U-Turn [3008],,103.641194638801,1.29890727521534
68,,285.57333768,U-Turn [3008],,103.786947855763,1.27792120360149
69,,196,U-Turn [3008],,103.846455347822,1.33235454092691
70,,179,U-Turn [3008],,103.882175554529,1.31092578870884
71,,5,U-Turn [3008],,103.885460504071,1.2997475014913
72,,273,U-Turn [3008],,103.847450744362,1.33421834839451
73,,183.20695864,U-Turn [3008],,103.728227672971,1.35047453936408
74,,103.39249775,U-Turn [3008],,103.846877035529,1.34863602853617
75,,12.26477373,U-Turn [3008],,103.847156099873,1.34792516758155
76,,245,U-Turn [3008],,103.948819442708,1.33350640431654
77,,216,U-Turn [3008],,103.897692785513,1.38225946424548
78,,33,U-Turn [3008],,103.793437774103,1.43124941513427
79,,266,U-Turn [3008],,103.956280114625,1.35625454838883
80,,310,U-Turn [3008],,103.818594148246,1.44041240272269
81,,139.27396614,U-Turn [3008],,103.951868135563,1.33567401926675
82,,170,U-Turn [3008],,103.740728806774,1.33368513650265
83,,220,U-Turn [3008],,103.856897970882,1.29724170510528
84,,212.08588474,U-Turn [3008],,103.795286873333,1.43449375439177
85,,241.23401136,U-Turn [3008],,103.830478674268,1.29958083954051
86,,333,U-Turn [3008],,103.764456506182,1.30469649266569
87,,73,U-Turn [3008],,103.712316908887,1.27682257622104
88,,135,U-Turn [3008],,103.897857954645,1.38353747745089
89,,83,U-Turn [3008],,103.822140238946,1.44735966714402
